Job Title,Job Description,Company Name,Location,clean_text,Simplified Job Title
Data Scientist,"data scientist
location: albuquerque, nm
education required: bachelor’s degree required, preferably in math, engineering, business, or the sciences.
skills required:
bachelor’s degree in relevant field, e.g., math, data analysis, database, computer science, artificial intelligence (ai); three years’ experience credit for master’s degree; five years’ experience credit for a ph.d
applicant should be proficient in the use of power bi, tableau, python, matlab, microsoft word, powerpoint, excel, and working knowledge of ms access, lms, sas, data visualization tools, and have a strong algorithmic aptitude
excellent verbal and written communication skills, and quantitative analytical skills are required
applicant must be able to work in a team environment
u.s. citizenship and ability to obtain a dod secret clearance required
responsibilities: the applicant will be responsible for formulating analytical solutions to complex data problems; creating data analytic models to improve data metrics; analyzing customer behavior and trends; delivering insights to stakeholders, as well as designing and crafting reports, dashboards, models, and algorithms to make data insights actionable; selecting features, building and optimizing classifiers using machine learning techniques; data mining using state-of-the-art methods, extending organization’s data with third party sources of information when needed; enhancing data collection procedures to include information that is relevant for building analytic systems; processing, cleansing, and verifying the integrity of data used for analysis; doing ad-hoc analysis and presenting results in a clear manner; and creating automated anomaly detection systems and constant tracking of its performance.
benefits:
we offer competitive salaries commensurate with education and experience. we have an excellent benefits package that includes:
comprehensive health, dental, life, long and short term disability insurance
100% company funded retirement plans
generous vacation, holiday and sick pay plans
tuition assistance

benefits are provided to employees regularly working a minimum of 30 hours per week.

tecolote research is a private, employee-owned corporation where people are our primary resource. our investments in technology and training give our employees the tools to ensure our clients are provided the solutions they need, and our very high employee retention rate and stable workforce is an added value to our customers. apply now to connect with a company that invests in you.","Tecolote Research
3.8","Albuquerque, NM",data scientist location albuquerque education bachelor preferably math engineering science bachelor relevant math data analysis database science artificial intelligence three credit master five credit phd applicant proficient power tableau python matlab microsoft word powerpoint excel access lm sa data visualization algorithmic aptitude excellent verbal written quantitative analytical applicant able citizenship obtain dod secret clearance applicant responsible formulating analytical complex data creating data analytic model improve data metric analyzing behavior trend delivering insight stakeholder well designing crafting report dashboard model algorithm make data insight actionable selecting feature building optimizing classifier machine learning technique data mining stateoftheart method extending organization data third party source needed enhancing data collection procedure include relevant building analytic processing cleansing verifying integrity data used analysis adhoc analysis presenting result clear manner creating automated anomaly detection constant tracking performance benefit offer competitive salary commensurate education excellent benefit package includes comprehensive health dental life long short term disability insurance funded retirement plan generous vacation holiday sick pay plan tuition assistance benefit provided regularly minimum hour per week tecolote research private employeeowned corporation people primary resource investment technology training give ensure provided high retention rate stable workforce added value apply connect invests,Data Scientist
Healthcare Data Scientist,"what you will do:

i. general summary

the healthcare data scientist position will join our advanced analytics group at the university of maryland medical system (umms) in support of its strategic priority to become a data-driven and outcomes-oriented organization. the successful candidate will have 3+ years of experience with machine learning, predictive modeling, statistical analysis, mathematical optimization, algorithm development and a passion for working with healthcare data. previous experience with various computational approaches along with an ability to demonstrate a portfolio of relevant prior projects is essential. this position will report to the umms vice president for enterprise data and analytics (ed&a).

ii. principal responsibilities and tasks

• develops predictive and prescriptive analytic models in support of the organization’s clinical, operations and business initiatives and priorities.
• deploys solutions so that they provide actionable insights to the organization and are embedded or integrated with application systems
• supports and drives analytic efforts designed around organization’s strategic priorities and clinical/business problems
• works in a team to drive disruptive innovation, which may translate into improved quality of care, clinical outcomes, reduced costs, temporal efficiencies and process improvements.
• builds and extends our analytics portfolio supported by robust documentation
• works with autonomy to find solutions to complex problems using open source tools and in-house development
• stays abreast of state-of-the-art literature in the fields of operations research, statistical modeling, statistical process control and mathematical optimization
• creates, communicates, and manages the project plans and other required project documentation and provides updates to leadership as necessary
• develops and maintains relationships with business, it and clinical leaders and stakeholders across the enterprise to facilitate collaboration and effective communication
• works with the analytics team and clinical/business stakeholders to develop pilots so that they may be tested and validated in pilot settings
• performs analysis to evaluate primary and secondary objectives from such pilots
• assists leadership with strategies for scaling successful projects across the organization and enhances the analytics applications based on feedback from end-users and clinical/business consumers
• assists leadership with dissemination of success stories (and failures) in an effort to increase analytics literacy and adoption across the organization.

what you need to be successful:

iii. education and experience

• master’s or higher degree (may be substituted by relevant work experience) in applied mathematics, physics, computer science, engineering, statistics or a related field
• 3+ years of mathematical optimization, machine learning, predictive analytics and algorithm development experience (experience with tools such as weka, rapidminer, r. python or other open source tools strongly desired)
• strong development skills in two or more of the following: c/c++, c#, python, java
• combining analytic methods with advanced data visualizations
• expert ability to breakdown and clearly define problems
• experience with natural language processing preferred

iv. knowledge, skills and abilities

• proven communications skills – effective at working independently and in collaboration with other staff members. capable of clearly presenting findings orally, in writing, or through graphics.
• proven analytical skills – able to compare, contrast, and validate work with keen attention to detail. skilled in working with “real world” data including scrubbing, transformation, and imputation.
• proven problem solving skills – able to plan work, set clear direction, and coordinate own tasks in a fast-paced multidisciplinary environment. expert at triaging issues, identifying data anomalies, and debugging software.
• design and prototype new application functionality for our products.
• change oriented – actively generates process improvements; supports and drives change, and confronts difficult circumstances in creative ways
• effective communicator and change agent
• ability to prioritize the tasks of the project timeline to achieve the desired results
• strong analytic and problem solving skills
• ability to cooperatively and effectively work with people from various organization levels

we are an equal opportunity employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.","University of Maryland Medical System
3.4","Linthicum, MD",general summary healthcare data scientist join group university maryland medical umms strategic priority become datadriven outcomesoriented organization successful candidate machine learning predictive modeling statistical analysis mathematical optimization algorithm passion healthcare data previous various computational approach along demonstrate portfolio relevant prior essential report umms vice president enterprise data eda principal task develops predictive prescriptive analytic model organization clinical operation initiative priority deploys actionable insight organization embedded integrated application drive analytic effort designed around organization strategic priority clinicalbusiness drive disruptive innovation may translate improved quality care clinical outcome reduced cost temporal efficiency improvement build extends portfolio supported robust documentation autonomy find complex open source inhouse stay abreast stateoftheart literature operation research statistical modeling statistical control mathematical optimization creates communicates manages plan documentation provides update leadership necessary develops maintains relationship clinical leader stakeholder enterprise facilitate collaboration effective clinicalbusiness stakeholder pilot may tested validated pilot setting performs analysis evaluate primary secondary objective pilot assist leadership strategy scaling successful organization enhances application based feedback endusers clinicalbusiness consumer assist leadership dissemination success story failure effort increase literacy adoption organization successful iii education master higher may substituted relevant applied mathematics physic science engineering statistic mathematical optimization machine learning predictive algorithm weka rapidminer python open source strongly desired two following python java combining analytic method data visualization expert breakdown clearly define natural language processing proven effective independently collaboration staff member capable clearly presenting finding orally writing graphic proven analytical able compare contrast validate keen attention detail skilled real world data scrubbing transformation imputation proven solving able plan set clear direction coordinate task fastpaced multidisciplinary expert triaging issue identifying data anomaly debugging software design prototype application functionality change oriented actively generates improvement drive change confronts difficult circumstance creative way effective communicator change agent prioritize task timeline achieve desired result analytic solving cooperatively effectively people various organization level equal employer discriminate applicant race color sex age national origin religion sexual orientation gender identity veteran basis disability federal state local protected class,Data Scientist
Data Scientist,"knowbe4, inc. is a high growth information security company. we are the world's largest provider of new-school security awareness training and simulated phishing. knowbe4 was created to help organizations manage the ongoing problem of social engineering. tens of thousands of organizations worldwide use knowbe4's platform to mobilize their end users as a last line of defense and enable them to make better security decisions, every day.

we are ranked #1 best place to work in technology nationwide by fortune magazine and have placed #1 or #2 in the tampa bay top workplaces survey for the last four years. we also just had our 27th record-setting quarter in a row!

the data scientist will work closely with the vp of fp&a and the quantitative analytics manager to implement advanced analytical models and other data-driven solutions.

responsibilities:
work with key stakeholders throughout the organization to identify opportunities using financial data to develop business solutions.
develop new and enhance existing data collection procedures to ensure that all data relevant for analyses is captured.
cleanse, consolidate, and verify the integrity of data used in analyses.
build and validate predictive models to increase customer retention, revenue generation, and other business outcomes.
develop relevant statistical models to assist with profitability forecasting
create the analytics to leverage known, inferred and appended information about origins and recognizing patterns to assist in outlook forecasting
assist in the design and data modeling of data warehouse.
visualize data, especially in reports and dashboards, to communicate analysis results to stakeholders.
extend data collection to unstructured data within the company and external sources
mine and collect data (both structured and unstructured) to detect patterns, opportunities and insights that drive our organization
create and execute automation and data mining requests utilizing sql, access, excel, sas and other statistical programs
trouble shoot forecast and optimization anomalies with fp&a team through the use of statistical and mathematical optimization models. develop testing to explain and or reduce these anomalies.
oversee and develop key metric forecasts as well as provide budget support based on trends in the business/industry.
minimum qualifications:
master's degree in statistics, computer science, mathematics or other quantitative discipline required
2-3 years of experience in similar role (master's degree)
0-2 years of experience in similar role (phd)
experience leveraging predictive modeling, big data analytics, exploratory data analysis and machine learning to drive significant business impact
experience with statistical computer languages (python, r etc.) to manipulate and analyze large datasets preferred.
experience with data visualization tools like d3.js, matplotlib, etc., preferred
exceptional understanding of machine learning algorithms such as random forest, svm, k-nn, naïve bayes, gradient boosting a plus.
applied statistical skills including statistical testing, regression, etc.
experience with data bases, query languages, and associated data architecture.
experience with distributed computing tools (hive, spark, etc.) is a plus.
strong analytical skills and ability to meet project deadlines.
note: an applicant assessment, background check and drug test may be part of your hiring procedure.

no recruitment agencies, please.","KnowBe4
4.8","Clearwater, FL",knowbe inc high growth security world largest provider newschool security awareness training simulated phishing knowbe created organization manage ongoing social engineering ten thousand organization worldwide knowbes platform mobilize end user last line defense enable make better security decision every day ranked best place technology nationwide fortune magazine placed tampa bay top workplace survey last four also recordsetting quarter row data scientist closely fpa quantitative manager implement analytical model datadriven key stakeholder throughout organization identify financial data enhance existing data collection procedure ensure data relevant analysis captured cleanse consolidate verify integrity data used analysis build validate predictive model increase retention revenue generation outcome relevant statistical model assist profitability forecasting create leverage known inferred appended origin recognizing pattern assist outlook forecasting assist design data modeling data warehouse visualize data especially report dashboard communicate analysis result stakeholder extend data collection unstructured data within external source mine collect data structured unstructured detect pattern insight drive organization create execute automation data mining request utilizing sql access excel sa statistical program trouble shoot forecast optimization anomaly fpa statistical mathematical optimization model testing explain reduce anomaly oversee key metric forecast well budget based trend businessindustry minimum qualification master statistic science mathematics quantitative discipline similar master similar phd leveraging predictive modeling big data exploratory data analysis machine learning drive significant impact statistical language python manipulate analyze large datasets data visualization like dj matplotlib exceptional machine learning algorithm random forest svm knn nave bayes gradient boosting plus applied statistical statistical testing regression data base query language associated data architecture distributed computing hive spark plus analytical meet deadline note applicant assessment background check drug test may part hiring procedure recruitment agency please,Data Scientist
Data Scientist,"*organization and job id**
job id: 310709

directorate: earth & biological sciences

division: biological sciences

group: exposure science team
*job description**
the biological system science (bss) group in the biological sciences division of the pacific northwest national laboratory (pnnl) is seeking a staff scientist with multidisciplinary experience in computational chemistry, cheminformatics, advanced statistics and/or machine learning/deep learning/ai. preferred candidates will have a broad understanding of the state of computational metabolomics and experience in designing and implementing novel deep learning networks for chemistry applications. research experience in drug design, cheminformatics, deep learning, machine learning and/or small molecule identification is also highly valued. successful candidates will join a large, uniquely collaborative, collegial group of innovators driving the integration of data science, computational science and analytical chemistry to solve the nations most challenging problems in human health, chemical forensics, and national security. the bss group is diverse and inclusive, working closely with colleagues across the laboratory with expertise in computational biology, integrative omics, applied mathematics, computer science, and statistics.

+ apply knowledge of statistics, machine learning, advanced mathematics, simulation, software development, and data modeling to to design, development and implement methods that integrate, clean and analyze data, recognize patterns, address uncertainty, pose questions, and make discoveries from structured and/or unstructured data.

+ produce solutions driven by exploratory data analysis from complex and high-dimensional datasets.

+ design, develop, and evaluate predictive models and advanced algorithms that lead to optimal value extraction from data.

+ develop and maintain existing deep learning networks that generate novel molecules for drug discovery applications

+ contribue or author proposals, peer-reviewed papers, and other technical products.
*minimum qualifications**
bs/ba with 0-1 years of experience or ms/ma with 0-1 years of experience
*preferred qualifications**
+ ms in chemical engineering, computer science, or related field with a gpa of 3.5+ 5+ years of research experience

+ intermediate level programming experience (preferably python) and high-performance computing experience

+ at least one first author published, or proof of submitted, paper applying deep learning for use in novel compound generation

+ understanding of the nmda receptor and potential drug targets

+ research experience in drug design, cheminformatics, deep learning, machine learning and/or small molecule identification
*equal employment opportunity**
battelle memorial institute (bmi) at pacific northwest national laboratory (pnnl) is an affirmative action/equal opportunity employer and supports diversity in the workplace. all employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. all bmi staff must be able to demonstrate the legal right to work in the united states. bmi is an e-verify employer. learn more at jobs.pnnl.gov.
*_please be aware that the department of energy (doe) prohibits doe employees and contractors from participation in certain foreign government talent recruitment programs. if you are offered a position at pnnl and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
_directorate:_ _earth & biological sciences_

_job category:_ _scientists/scientific support_

_group:_ _biological systems science_

_opening date:_ _2020-03-26_

_closing date:_ _2020-04-05_","PNNL
3.8","Richland, WA",organization directorate earth biological science division biological science group exposure science description biological science bs group biological science division pacific northwest national laboratory pnnl seeking staff scientist multidisciplinary computational chemistry cheminformatics statistic andor machine learningdeep learningai candidate broad state computational metabolomics designing implementing novel deep learning network chemistry application research drug design cheminformatics deep learning machine learning andor small molecule identification also highly valued successful candidate join large uniquely collaborative collegial group innovator driving integration data science computational science analytical chemistry solve nation challenging human health chemical forensics national security bs group diverse inclusive closely colleague laboratory expertise computational biology integrative omics applied mathematics science statistic apply statistic machine learning mathematics simulation software data modeling design implement method integrate clean analyze data recognize pattern address uncertainty pose question make discovery structured andor unstructured data produce driven exploratory data analysis complex highdimensional datasets design evaluate predictive model algorithm lead optimal value extraction data maintain existing deep learning network generate novel molecule drug discovery application contribue author proposal peerreviewed paper minimum qualification bsba msma qualification chemical engineering science gpa research intermediate level programming preferably python highperformance computing least one first author published proof submitted paper applying deep learning novel compound generation nmda receptor potential drug target research drug design cheminformatics deep learning machine learning andor small molecule identification equal battelle memorial institute bmi pacific northwest national laboratory pnnl affirmative actionequal employer diversity workplace decision made without regard race color religion sex national origin age disability veteran marital family sexual orientation gender identity genetic bmi staff able demonstrate legal right united state bmi everify employer learn jobspnnlgov please aware department energy doe prohibits doe contractor participation certain foreign government talent recruitment program offered pnnl currently participant foreign government talent recruitment program disclose first day directorate earth biological science category scientistsscientific group biological science opening date closing date,Data Scientist
Data Scientist,"data scientist
affinity solutions / marketing cloud seeks smart, curious, technically savvy candidates to join our cutting-edge data science team. we hire the best and brightest and give them the opportunity to work on industry-leading technologies.
the data sciences team at afs/marketing cloud build models, machine learning algorithms that power all our ad-tech/mar-tech products at scale, develop methodology and tools to precisely and effectively measure market campaign effects, and research in-house and public data sources for consumer spend behavior insights. in this role, you'll have the opportunity to come up with new ideas and solutions that will lead to improvement of our ability to target the right audience, derive insights and provide better measurement methodology for marketing campaigns. you'll access our core data asset and machine learning infrastructure to power your ideas.
duties and responsibilities
· support all clients model building needs, including maintaining and improving current modeling/scoring methodology and processes,
· provide innovative solutions to customized modeling/scoring/targeting with appropriate ml/statistical tools,
· provide analytical/statistical support such as marketing test design, projection, campaign measurement, market insights to clients and stakeholders.
· mine large consumer datasets in the cloud environment to support ad hoc business and statistical analysis,
· develop and improve automation capabilities to enable customized delivery of the analytical products to clients,
· communicate the methodologies and the results to the management, clients and none technical stakeholders.
basic qualifications
· advanced degree in statistics/mathematics/computer science/economics or other fields that requires advanced training in data analytics.
· being able to apply basic statistical/ml concepts and reasoning to address and solve business problems such as targeting, test design, kpi projection and performance measurement.
· entrepreneurial, highly self-motivated, collaborative, keen attention to detail, willingness and capable learn quickly, and ability to effectively prioritize and execute tasks in a high pressure environment.
· being flexible to accept different task assignments and able to work on a tight time schedule.
· excellent command of one or more programming languages; preferably python, sas or r
· familiar with one of the database technologies such as postgresql, mysql, can write basic sql queries
· great communication skills (verbal, written and presentation)
preferred qualifications
· experience or exposure to large consumer and/or demographic data sets.
· familiarity with data manipulation and cleaning routines and techniques.","Affinity Solutions
2.9","New York, NY",data scientist affinity marketing cloud seek smart curious technically savvy candidate join cuttingedge data science hire best brightest give industryleading technology data science afsmarketing cloud build model machine learning algorithm power adtechmartech scale methodology precisely effectively measure market campaign effect research inhouse public data source consumer spend behavior insight youll come idea lead improvement target right audience derive insight better measurement methodology marketing campaign youll access core data asset machine learning infrastructure power idea duty model building maintaining improving current modelingscoring methodology innovative customized modelingscoringtargeting appropriate mlstatistical analyticalstatistical marketing test design projection campaign measurement market insight stakeholder mine large consumer datasets cloud hoc statistical analysis improve automation capability enable customized delivery analytical communicate methodology result none stakeholder basic qualification statisticsmathematicscomputer scienceeconomics requires training data able apply basic statisticalml concept reasoning address solve targeting test design kpi projection performance measurement entrepreneurial highly selfmotivated collaborative keen attention detail willingness capable learn quickly effectively prioritize execute task high pressure flexible accept different task assignment able tight time schedule excellent command one programming language preferably python sa familiar one database technology postgresql mysql write basic sql query great verbal written presentation qualification exposure large consumer andor demographic data set familiarity data manipulation cleaning routine technique,Data Scientist
Data Scientist,"cyrusone is seeking a talented data scientist who holds a range of data-focused skills both in technical and analytical domains. the ideal candidate is adept at processing, cleansing, and verifying the integrity of data used for visualization and analysis. this role is dynamic, granting the candidate the opportunity to participate in a wide variety of projects and collaborate with many cross-functional teams throughout the business.

duties and responsibilities:
participate in an agile scrum cadence
process, cleanse, and verify the integrity of data used for analysis
perform functional business requirements analysis and data analysis
develop data models and algorithms to apply to data sets
augment data collection procedures to include necessary information for building accurate analytics
collaborate with stakeholders throughout the organization to identify opportunities for leveraging data to drive business solutions
evaluate the effectiveness and accuracy of data sources and data gathering techniques
gather critical information from meetings with various stakeholders and produce useful reports
coordinate with cross-functional teams to implement models and monitor outcomes
develop automated discrepancy detection systems and distribute reconciliation reports to stakeholders
requirements:
must be legally authorized to work in the united states for any employer without sponsorship
professional experience using statistical software languages like r, python, and sql to query, manipulate, and draw insights from data sets
strong problem-solving skills with an emphasis on product development
extensive experience with microsoft sql, mysql and mongodb
understanding of version control (git) and project management with azure devops
knowledge of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.)
experience visualizing data for stakeholders using visualization tools such as power bi
experience working with and creating data architectures
understanding and adherence to agile principles and practices
ability to work on problems of any scope where the analysis of situations or data requires a review of a variety of factors
self-maintainability and reliability with minimal supervision
excellent interpersonal communication, decision making, presentation, and organizational skills
ability to build productive internal/external working relationships
harmonious with cyrusone culture, core values, and business goals
minimum qualifications:
2+ years of related experience in a data analyst role
strong can-do attitude in a time sensitive environment
other important information about this position:
this position requires typical weekday (monday - friday) attendance in an office setting, at times after hours work may be required to meet business and customer needs
every position requires certain physical capabilities. cyrusone seeks to make reasonable accommodations that enable individuals with disabilities to perform essential duties when possible
cyrusone is an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity, religion, national origin, disability, veteran status, or other legally protected status.

cyrusone provides reasonable accommodation for qualified individuals with disabilities in accordance with the americans with disabilities act (ada) and any other state or local laws. we will respond to requests for reasonable accommodations to assist you in applying for positions at cyrusone, or to submit a resume. if you need to request an accommodation, please contact our human resources at 214.488.1365 (option 7) or by email at hr@cyrusone.com.","CyrusOne
3.4","Dallas, TX",cyrusone seeking talented data scientist hold range datafocused analytical domain ideal candidate adept processing cleansing verifying integrity data used visualization analysis dynamic granting candidate participate wide variety collaborate many crossfunctional throughout duty participate agile scrum cadence cleanse verify integrity data used analysis perform functional analysis data analysis data model algorithm apply data set augment data collection procedure include necessary building accurate collaborate stakeholder throughout organization identify leveraging data drive evaluate effectiveness accuracy data source data gathering technique gather critical meeting various stakeholder produce useful report coordinate crossfunctional implement model monitor outcome automated discrepancy detection distribute reconciliation report stakeholder legally authorized united state employer without sponsorship professional statistical software language like python sql query manipulate draw insight data set problemsolving emphasis extensive microsoft sql mysql mongodb version control git azure devops machine learning technique clustering decision tree learning artificial neural network visualizing data stakeholder visualization power creating data architecture adherence agile principle practice scope analysis situation data requires review variety factor selfmaintainability reliability minimal supervision excellent interpersonal decision making presentation organizational build productive internalexternal relationship harmonious cyrusone culture core value goal minimum qualification data analyst cando attitude time sensitive important requires typical weekday monday friday attendance office setting time hour may meet every requires certain physical capability cyrusone seek make reasonable accommodation enable individual disability perform essential duty possible cyrusone equal employer qualified applicant receive consideration without regard race color sex sexual orientation gender identity religion national origin disability veteran legally protected cyrusone provides reasonable accommodation qualified individual disability accordance american disability act ada state local law respond request reasonable accommodation assist applying cyrusone submit resume request accommodation please contact human resource option email hrcyrusonecom,Data Scientist
Data Scientist,"job description

**please only local candidates apply - thank you**

clearone advantage is a fast-growing company that is aggressively hiring due to increased business. we are always improving our marketing, culture and technology to provide our employees with the best work atmosphere and our customers with excellent customer service. coa’s proprietary software is tailored to our industry and allows the client to receive the best service possible.

we are looking for a data scientist to analyze large amounts of raw information to find patterns that will help improve our company. we will rely on you to build data products to extract valuable business insights. in this role, you should be highly analytical with a knack for analysis, math and statistics. critical thinking and problem-solving skills are essential for interpreting data. we want to see a passion for machine-learning and research. your goal will be to help our company analyze trends to make better decisions.

if you are looking to work in a team environment, a place where you are more a name than a number, where you interact with leadership daily, then please send your resume for review!

perks:
great location, right on the water in the canton crossing tower
casual work environment and wfh flexibility
room for advancement
what you'll be doing:
identify valuable data sources and automate collection processes
undertake preprocessing of structured and unstructured data
analyze large amounts of information to discover trends and patterns
build predictive models and machine-learning algorithms
combine models through ensemble modeling
present information using data visualization techniques
propose solutions and strategies to business challenges
collaborate with engineering and product development teams","ClearOne Advantage
4.1","Baltimore, MD",description please local candidate apply thank clearone advantage fastgrowing aggressively hiring due increased always improving marketing culture technology best atmosphere excellent coas proprietary software tailored industry allows receive best possible looking data scientist analyze large amount raw find pattern improve rely build data extract valuable insight highly analytical knack analysis math statistic critical thinking problemsolving essential interpreting data want see passion machinelearning research goal analyze trend make better decision looking place name number interact leadership daily please send resume review perk great location right water canton crossing tower casual wfh flexibility room advancement youll identify valuable data source automate collection undertake preprocessing structured unstructured data analyze large amount discover trend pattern build predictive model machinelearning algorithm combine model ensemble modeling present data visualization technique propose strategy challenge collaborate engineering,Data Scientist
Data Scientist,"advanced analytics – lead data scientist
overview


we are looking for a data scientist to join our data science team to work on interesting projects to help our clients make data driven solutions. as a data scientist, you’ll work closely with the clients to understand their business needs, frame them as statistical problems, and solve them with cutting edge techniques. collaborate with your team, including machine learning engineers, data engineers, analysts, and tpms to define tasks, provide estimates, and work together to deliver a world class solution. the ideal candidate will have the balance of technical skills and business acumen to help the client better understand their core needs while understanding technical limitations.

about you…
experience partnering & communicating with executive management team to understand business needs and pain points
ability to communicate data science concepts to business stakeholders
passion for the application of machine learning to real world problems
adept at developing and iterating solutions rapidly
ability to lead development of data science solutions
what we offer our consultants:

experience working with both large enterprise clients and mid-sized clients
progressive responsibilities that encourage ownership and design
opportunity to learn and gain experience in complimentary skills such as meeting facilitation, data management, project management, data modeling, and data management
company culture that celebrates “foster the culture of we”, “act with integrity” and “drive towards excellence” while having fun at work
training and certification opportunities to support your career now and after logic20/20
various opportunities to give back to the community through company sponsored events
required qualifications
experience building machine learning models using python
experience deploying machine learning models in a production environment
strong knowledge of probability statistics
experience with tensorflow or pytorch
experience writing sql to query databases, structure and modify data
demonstrated ability to frame business problems as statistical problems and solve them
ability to work both independently and as part of a team
experience working in ambiguous and dynamic environments that move quickly
an undergraduate degree in mathematics, computer science, or engineering is preferred
preferred qualifications
passion and experience driving adoption of machine learning in industry
experience deploying machine learning on large scales through spark or other big data technology
experience building systems in aws
experience in computer vision with deep neural networks
experience with leading workshops with executives to drive requirements gathering
masters or phd in data science or related field

about logic20/20. . .


logic20/20 is one of seattle’s fastest growing full-service consulting firms. our core competency is creating simplicity and efficiency in complex solutions. although we make it look like magic, we succeed by combining methodical and structured approaches with our substantial experience to design elegant solutions for even the most intricate challenges. our rapid growth is in response to our ability to deliver consistently for our clients, which is directly related to the quality of the people we hire.

the past four years, we’ve been in the top 10 “best companies to work for” ….. why? our team members are highly self-motivated, comfortable conceiving strategies on the fly, and enjoy working both individually and as part of a team. our environment is very high-energy and demanding, and individuals with remarkable enthusiasm and a can-do attitude are joining our team. we have lots of fun, focus on our employees and our clients, and work to bring our best to every opportunity.","Logic20/20
3.8","San Jose, CA",lead data scientist overview looking data scientist join data science interesting make data driven data scientist youll closely understand frame statistical solve cutting edge technique collaborate machine learning engineer data engineer analyst tpms define task estimate together deliver world class ideal candidate balance acumen better understand core limitation partnering communicating executive understand pain point communicate data science concept stakeholder passion application machine learning real world adept developing iterating rapidly lead data science offer consultant large enterprise midsized progressive encourage ownership design learn gain complimentary meeting facilitation data data modeling data culture celebrates foster culture act integrity drive towards excellence fun training certification career logic various give back community sponsored event qualification building machine learning model python deploying machine learning model production probability statistic tensorflow pytorch writing sql query database structure modify data demonstrated frame statistical solve independently part ambiguous dynamic move quickly undergraduate mathematics science engineering qualification passion driving adoption machine learning industry deploying machine learning large scale spark big data technology building aws vision deep neural network leading workshop executive drive gathering master phd data science logic logic one seattle fastest growing fullservice consulting firm core competency creating simplicity efficiency complex although make look like magic succeed combining methodical structured approach substantial design elegant even intricate challenge rapid growth response deliver consistently directly quality people hire past four weve top best member highly selfmotivated comfortable conceiving strategy fly enjoy individually part highenergy demanding individual remarkable enthusiasm cando attitude joining lot fun focus bring best every,Data Scientist
Research Scientist,"summary

the research scientist i will be tasked with oversight of research in the division of cancer biology research at the rochester general hospital research institute.

a strong background in molecular biology or cancer biology research is preferred. mouse models will be used in the research.

status: full time

location: rgh research institute

department: cancer biology

schedule: monday-friday; days

attributes
md or phd who is not self supporting of their own salary nor has their own research program
functions with minimal direction from research scientist ii, senior research scientist or laboratory director.
strong analytical, computer, leadership and problem-solving skills
responsibilities
conducts research projects including complex experiments, some in parallel, utilizing current concepts and recognized standard techniques, developing new protocols as necessary
demonstrates a high level of initiative in performing experiments, analyzing data and drawing conclusions regarding progress and results of work.
maintains a familiarity with current and emerging technologies through reading and understanding scientific and technical literature resulting in a broadening understanding of disciplines outside area of training and enabling the use of new and improved procedures in the laboratory.
duties are performed with an understanding of drug discovery in area of specialization.
education phd; md rochester regional health is an equal opportunity / affirmative action employer. minority/female/disability/veteran","Rochester Regional Health
3.3","Rochester, NY",summary research scientist tasked oversight research division cancer biology research rochester general hospital research institute background molecular biology cancer biology research mouse model used research full time location rgh research institute department cancer biology schedule mondayfriday day attribute phd self supporting salary research program function minimal direction research scientist senior research scientist laboratory director analytical leadership problemsolving conduct research complex experiment parallel utilizing current concept recognized standard technique developing protocol necessary demonstrates high level initiative performing experiment analyzing data drawing conclusion regarding progress result maintains familiarity current emerging technology reading scientific literature resulting broadening discipline outside area training enabling improved procedure laboratory duty performed drug discovery area specialization education phd rochester regional health equal affirmative action employer minorityfemaledisabilityveteran,Data Scientist
