Job Title,Job Description,Company Name,Location,clean_text
Data Scientist,"data scientist
location: albuquerque, nm
education required: bachelor’s degree required, preferably in math, engineering, business, or the sciences.
skills required:
bachelor’s degree in relevant field, e.g., math, data analysis, database, computer science, artificial intelligence (ai); three years’ experience credit for master’s degree; five years’ experience credit for a ph.d
applicant should be proficient in the use of power bi, tableau, python, matlab, microsoft word, powerpoint, excel, and working knowledge of ms access, lms, sas, data visualization tools, and have a strong algorithmic aptitude
excellent verbal and written communication skills, and quantitative analytical skills are required
applicant must be able to work in a team environment
u.s. citizenship and ability to obtain a dod secret clearance required
responsibilities: the applicant will be responsible for formulating analytical solutions to complex data problems; creating data analytic models to improve data metrics; analyzing customer behavior and trends; delivering insights to stakeholders, as well as designing and crafting reports, dashboards, models, and algorithms to make data insights actionable; selecting features, building and optimizing classifiers using machine learning techniques; data mining using state-of-the-art methods, extending organization’s data with third party sources of information when needed; enhancing data collection procedures to include information that is relevant for building analytic systems; processing, cleansing, and verifying the integrity of data used for analysis; doing ad-hoc analysis and presenting results in a clear manner; and creating automated anomaly detection systems and constant tracking of its performance.
benefits:
we offer competitive salaries commensurate with education and experience. we have an excellent benefits package that includes:
comprehensive health, dental, life, long and short term disability insurance
100% company funded retirement plans
generous vacation, holiday and sick pay plans
tuition assistance

benefits are provided to employees regularly working a minimum of 30 hours per week.

tecolote research is a private, employee-owned corporation where people are our primary resource. our investments in technology and training give our employees the tools to ensure our clients are provided the solutions they need, and our very high employee retention rate and stable workforce is an added value to our customers. apply now to connect with a company that invests in you.","Tecolote Research
3.8","Albuquerque, NM",data scientist location albuquerque education required bachelor degree required preferably math engineering business science skill required bachelor degree relevant field math data analysis database computer science artificial intelligence three year experience credit master degree five year experience credit phd applicant proficient use power tableau python matlab microsoft word powerpoint excel working knowledge access lm sa data visualization tool strong algorithmic aptitude excellent verbal written communication skill quantitative analytical skill required applicant must able work team environment citizenship ability obtain dod secret clearance required responsibility applicant responsible formulating analytical solution complex data problem creating data analytic model improve data metric analyzing customer behavior trend delivering insight stakeholder well designing crafting report dashboard model algorithm make data insight actionable selecting feature building optimizing classifier using machine learning technique data mining using stateoftheart method extending organization data third party source information needed enhancing data collection procedure include information relevant building analytic system processing cleansing verifying integrity data used analysis adhoc analysis presenting result clear manner creating automated anomaly detection system constant tracking performance benefit offer competitive salary commensurate education experience excellent benefit package includes comprehensive health dental life long short term disability insurance company funded retirement plan generous vacation holiday sick pay plan tuition assistance benefit provided employee regularly working minimum hour per week tecolote research private employeeowned corporation people primary resource investment technology training give employee tool ensure client provided solution need high employee retention rate stable workforce added value customer apply connect company invests
Healthcare Data Scientist,"what you will do:

i. general summary

the healthcare data scientist position will join our advanced analytics group at the university of maryland medical system (umms) in support of its strategic priority to become a data-driven and outcomes-oriented organization. the successful candidate will have 3+ years of experience with machine learning, predictive modeling, statistical analysis, mathematical optimization, algorithm development and a passion for working with healthcare data. previous experience with various computational approaches along with an ability to demonstrate a portfolio of relevant prior projects is essential. this position will report to the umms vice president for enterprise data and analytics (ed&a).

ii. principal responsibilities and tasks

• develops predictive and prescriptive analytic models in support of the organization’s clinical, operations and business initiatives and priorities.
• deploys solutions so that they provide actionable insights to the organization and are embedded or integrated with application systems
• supports and drives analytic efforts designed around organization’s strategic priorities and clinical/business problems
• works in a team to drive disruptive innovation, which may translate into improved quality of care, clinical outcomes, reduced costs, temporal efficiencies and process improvements.
• builds and extends our analytics portfolio supported by robust documentation
• works with autonomy to find solutions to complex problems using open source tools and in-house development
• stays abreast of state-of-the-art literature in the fields of operations research, statistical modeling, statistical process control and mathematical optimization
• creates, communicates, and manages the project plans and other required project documentation and provides updates to leadership as necessary
• develops and maintains relationships with business, it and clinical leaders and stakeholders across the enterprise to facilitate collaboration and effective communication
• works with the analytics team and clinical/business stakeholders to develop pilots so that they may be tested and validated in pilot settings
• performs analysis to evaluate primary and secondary objectives from such pilots
• assists leadership with strategies for scaling successful projects across the organization and enhances the analytics applications based on feedback from end-users and clinical/business consumers
• assists leadership with dissemination of success stories (and failures) in an effort to increase analytics literacy and adoption across the organization.

what you need to be successful:

iii. education and experience

• master’s or higher degree (may be substituted by relevant work experience) in applied mathematics, physics, computer science, engineering, statistics or a related field
• 3+ years of mathematical optimization, machine learning, predictive analytics and algorithm development experience (experience with tools such as weka, rapidminer, r. python or other open source tools strongly desired)
• strong development skills in two or more of the following: c/c++, c#, python, java
• combining analytic methods with advanced data visualizations
• expert ability to breakdown and clearly define problems
• experience with natural language processing preferred

iv. knowledge, skills and abilities

• proven communications skills – effective at working independently and in collaboration with other staff members. capable of clearly presenting findings orally, in writing, or through graphics.
• proven analytical skills – able to compare, contrast, and validate work with keen attention to detail. skilled in working with “real world” data including scrubbing, transformation, and imputation.
• proven problem solving skills – able to plan work, set clear direction, and coordinate own tasks in a fast-paced multidisciplinary environment. expert at triaging issues, identifying data anomalies, and debugging software.
• design and prototype new application functionality for our products.
• change oriented – actively generates process improvements; supports and drives change, and confronts difficult circumstances in creative ways
• effective communicator and change agent
• ability to prioritize the tasks of the project timeline to achieve the desired results
• strong analytic and problem solving skills
• ability to cooperatively and effectively work with people from various organization levels

we are an equal opportunity employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.","University of Maryland Medical System
3.4","Linthicum, MD",general summary healthcare data scientist position join advanced analytics group university maryland medical system umms support strategic priority become datadriven outcomesoriented organization successful candidate year experience machine learning predictive modeling statistical analysis mathematical optimization algorithm development passion working healthcare data previous experience various computational approach along ability demonstrate portfolio relevant prior project essential position report umms vice president enterprise data analytics eda principal responsibility task develops predictive prescriptive analytic model support organization clinical operation business initiative priority deploys solution provide actionable insight organization embedded integrated application system support drive analytic effort designed around organization strategic priority clinicalbusiness problem work team drive disruptive innovation may translate improved quality care clinical outcome reduced cost temporal efficiency process improvement build extends analytics portfolio supported robust documentation work autonomy find solution complex problem using open source tool inhouse development stay abreast stateoftheart literature field operation research statistical modeling statistical process control mathematical optimization creates communicates manages project plan required project documentation provides update leadership necessary develops maintains relationship business clinical leader stakeholder across enterprise facilitate collaboration effective communication work analytics team clinicalbusiness stakeholder develop pilot may tested validated pilot setting performs analysis evaluate primary secondary objective pilot assist leadership strategy scaling successful project across organization enhances analytics application based feedback endusers clinicalbusiness consumer assist leadership dissemination success story failure effort increase analytics literacy adoption across organization need successful iii education experience master higher degree may substituted relevant work experience applied mathematics physic computer science engineering statistic related field year mathematical optimization machine learning predictive analytics algorithm development experience experience tool weka rapidminer python open source tool strongly desired strong development skill two following python java combining analytic method advanced data visualization expert ability breakdown clearly define problem experience natural language processing preferred knowledge skill ability proven communication skill effective working independently collaboration staff member capable clearly presenting finding orally writing graphic proven analytical skill able compare contrast validate work keen attention detail skilled working real world data including scrubbing transformation imputation proven problem solving skill able plan work set clear direction coordinate task fastpaced multidisciplinary environment expert triaging issue identifying data anomaly debugging software design prototype new application functionality product change oriented actively generates process improvement support drive change confronts difficult circumstance creative way effective communicator change agent ability prioritize task project timeline achieve desired result strong analytic problem solving skill ability cooperatively effectively work people various organization level equal opportunity employer discriminate employee applicant employment race color sex age national origin religion sexual orientation gender identity status veteran basis disability federal state local protected class
Data Scientist,"knowbe4, inc. is a high growth information security company. we are the world's largest provider of new-school security awareness training and simulated phishing. knowbe4 was created to help organizations manage the ongoing problem of social engineering. tens of thousands of organizations worldwide use knowbe4's platform to mobilize their end users as a last line of defense and enable them to make better security decisions, every day.

we are ranked #1 best place to work in technology nationwide by fortune magazine and have placed #1 or #2 in the tampa bay top workplaces survey for the last four years. we also just had our 27th record-setting quarter in a row!

the data scientist will work closely with the vp of fp&a and the quantitative analytics manager to implement advanced analytical models and other data-driven solutions.

responsibilities:
work with key stakeholders throughout the organization to identify opportunities using financial data to develop business solutions.
develop new and enhance existing data collection procedures to ensure that all data relevant for analyses is captured.
cleanse, consolidate, and verify the integrity of data used in analyses.
build and validate predictive models to increase customer retention, revenue generation, and other business outcomes.
develop relevant statistical models to assist with profitability forecasting
create the analytics to leverage known, inferred and appended information about origins and recognizing patterns to assist in outlook forecasting
assist in the design and data modeling of data warehouse.
visualize data, especially in reports and dashboards, to communicate analysis results to stakeholders.
extend data collection to unstructured data within the company and external sources
mine and collect data (both structured and unstructured) to detect patterns, opportunities and insights that drive our organization
create and execute automation and data mining requests utilizing sql, access, excel, sas and other statistical programs
trouble shoot forecast and optimization anomalies with fp&a team through the use of statistical and mathematical optimization models. develop testing to explain and or reduce these anomalies.
oversee and develop key metric forecasts as well as provide budget support based on trends in the business/industry.
minimum qualifications:
master's degree in statistics, computer science, mathematics or other quantitative discipline required
2-3 years of experience in similar role (master's degree)
0-2 years of experience in similar role (phd)
experience leveraging predictive modeling, big data analytics, exploratory data analysis and machine learning to drive significant business impact
experience with statistical computer languages (python, r etc.) to manipulate and analyze large datasets preferred.
experience with data visualization tools like d3.js, matplotlib, etc., preferred
exceptional understanding of machine learning algorithms such as random forest, svm, k-nn, naïve bayes, gradient boosting a plus.
applied statistical skills including statistical testing, regression, etc.
experience with data bases, query languages, and associated data architecture.
experience with distributed computing tools (hive, spark, etc.) is a plus.
strong analytical skills and ability to meet project deadlines.
note: an applicant assessment, background check and drug test may be part of your hiring procedure.

no recruitment agencies, please.","KnowBe4
4.8","Clearwater, FL",knowbe inc high growth information security company world largest provider newschool security awareness training simulated phishing knowbe created help organization manage ongoing problem social engineering ten thousand organization worldwide use knowbes platform mobilize end user last line defense enable make better security decision every day ranked best place work technology nationwide fortune magazine placed tampa bay top workplace survey last four year also recordsetting quarter row data scientist work closely fpa quantitative analytics manager implement advanced analytical model datadriven solution responsibility work key stakeholder throughout organization identify opportunity using financial data develop business solution develop new enhance existing data collection procedure ensure data relevant analysis captured cleanse consolidate verify integrity data used analysis build validate predictive model increase customer retention revenue generation business outcome develop relevant statistical model assist profitability forecasting create analytics leverage known inferred appended information origin recognizing pattern assist outlook forecasting assist design data modeling data warehouse visualize data especially report dashboard communicate analysis result stakeholder extend data collection unstructured data within company external source mine collect data structured unstructured detect pattern opportunity insight drive organization create execute automation data mining request utilizing sql access excel sa statistical program trouble shoot forecast optimization anomaly fpa team use statistical mathematical optimization model develop testing explain reduce anomaly oversee develop key metric forecast well provide budget support based trend businessindustry minimum qualification master degree statistic computer science mathematics quantitative discipline required year experience similar role master degree year experience similar role phd experience leveraging predictive modeling big data analytics exploratory data analysis machine learning drive significant business impact experience statistical computer language python etc manipulate analyze large datasets preferred experience data visualization tool like dj matplotlib etc preferred exceptional understanding machine learning algorithm random forest svm knn nave bayes gradient boosting plus applied statistical skill including statistical testing regression etc experience data base query language associated data architecture experience distributed computing tool hive spark etc plus strong analytical skill ability meet project deadline note applicant assessment background check drug test may part hiring procedure recruitment agency please
Data Scientist,"*organization and job id**
job id: 310709

directorate: earth & biological sciences

division: biological sciences

group: exposure science team
*job description**
the biological system science (bss) group in the biological sciences division of the pacific northwest national laboratory (pnnl) is seeking a staff scientist with multidisciplinary experience in computational chemistry, cheminformatics, advanced statistics and/or machine learning/deep learning/ai. preferred candidates will have a broad understanding of the state of computational metabolomics and experience in designing and implementing novel deep learning networks for chemistry applications. research experience in drug design, cheminformatics, deep learning, machine learning and/or small molecule identification is also highly valued. successful candidates will join a large, uniquely collaborative, collegial group of innovators driving the integration of data science, computational science and analytical chemistry to solve the nations most challenging problems in human health, chemical forensics, and national security. the bss group is diverse and inclusive, working closely with colleagues across the laboratory with expertise in computational biology, integrative omics, applied mathematics, computer science, and statistics.

+ apply knowledge of statistics, machine learning, advanced mathematics, simulation, software development, and data modeling to to design, development and implement methods that integrate, clean and analyze data, recognize patterns, address uncertainty, pose questions, and make discoveries from structured and/or unstructured data.

+ produce solutions driven by exploratory data analysis from complex and high-dimensional datasets.

+ design, develop, and evaluate predictive models and advanced algorithms that lead to optimal value extraction from data.

+ develop and maintain existing deep learning networks that generate novel molecules for drug discovery applications

+ contribue or author proposals, peer-reviewed papers, and other technical products.
*minimum qualifications**
bs/ba with 0-1 years of experience or ms/ma with 0-1 years of experience
*preferred qualifications**
+ ms in chemical engineering, computer science, or related field with a gpa of 3.5+ 5+ years of research experience

+ intermediate level programming experience (preferably python) and high-performance computing experience

+ at least one first author published, or proof of submitted, paper applying deep learning for use in novel compound generation

+ understanding of the nmda receptor and potential drug targets

+ research experience in drug design, cheminformatics, deep learning, machine learning and/or small molecule identification
*equal employment opportunity**
battelle memorial institute (bmi) at pacific northwest national laboratory (pnnl) is an affirmative action/equal opportunity employer and supports diversity in the workplace. all employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. all bmi staff must be able to demonstrate the legal right to work in the united states. bmi is an e-verify employer. learn more at jobs.pnnl.gov.
*_please be aware that the department of energy (doe) prohibits doe employees and contractors from participation in certain foreign government talent recruitment programs. if you are offered a position at pnnl and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
_directorate:_ _earth & biological sciences_

_job category:_ _scientists/scientific support_

_group:_ _biological systems science_

_opening date:_ _2020-03-26_

_closing date:_ _2020-04-05_","PNNL
3.8","Richland, WA",organization job job directorate earth biological science division biological science group exposure science team job description biological system science bs group biological science division pacific northwest national laboratory pnnl seeking staff scientist multidisciplinary experience computational chemistry cheminformatics advanced statistic andor machine learningdeep learningai preferred candidate broad understanding state computational metabolomics experience designing implementing novel deep learning network chemistry application research experience drug design cheminformatics deep learning machine learning andor small molecule identification also highly valued successful candidate join large uniquely collaborative collegial group innovator driving integration data science computational science analytical chemistry solve nation challenging problem human health chemical forensics national security bs group diverse inclusive working closely colleague across laboratory expertise computational biology integrative omics applied mathematics computer science statistic apply knowledge statistic machine learning advanced mathematics simulation software development data modeling design development implement method integrate clean analyze data recognize pattern address uncertainty pose question make discovery structured andor unstructured data produce solution driven exploratory data analysis complex highdimensional datasets design develop evaluate predictive model advanced algorithm lead optimal value extraction data develop maintain existing deep learning network generate novel molecule drug discovery application contribue author proposal peerreviewed paper technical product minimum qualification bsba year experience msma year experience preferred qualification chemical engineering computer science related field gpa year research experience intermediate level programming experience preferably python highperformance computing experience least one first author published proof submitted paper applying deep learning use novel compound generation understanding nmda receptor potential drug target research experience drug design cheminformatics deep learning machine learning andor small molecule identification equal employment opportunity battelle memorial institute bmi pacific northwest national laboratory pnnl affirmative actionequal opportunity employer support diversity workplace employment decision made without regard race color religion sex national origin age disability veteran status marital family status sexual orientation gender identity genetic information bmi staff must able demonstrate legal right work united state bmi everify employer learn jobspnnlgov please aware department energy doe prohibits doe employee contractor participation certain foreign government talent recruitment program offered position pnnl currently participant foreign government talent recruitment program required disclose information first day employment directorate earth biological science job category scientistsscientific support group biological system science opening date closing date
Data Scientist,"data scientist
affinity solutions / marketing cloud seeks smart, curious, technically savvy candidates to join our cutting-edge data science team. we hire the best and brightest and give them the opportunity to work on industry-leading technologies.
the data sciences team at afs/marketing cloud build models, machine learning algorithms that power all our ad-tech/mar-tech products at scale, develop methodology and tools to precisely and effectively measure market campaign effects, and research in-house and public data sources for consumer spend behavior insights. in this role, you'll have the opportunity to come up with new ideas and solutions that will lead to improvement of our ability to target the right audience, derive insights and provide better measurement methodology for marketing campaigns. you'll access our core data asset and machine learning infrastructure to power your ideas.
duties and responsibilities
· support all clients model building needs, including maintaining and improving current modeling/scoring methodology and processes,
· provide innovative solutions to customized modeling/scoring/targeting with appropriate ml/statistical tools,
· provide analytical/statistical support such as marketing test design, projection, campaign measurement, market insights to clients and stakeholders.
· mine large consumer datasets in the cloud environment to support ad hoc business and statistical analysis,
· develop and improve automation capabilities to enable customized delivery of the analytical products to clients,
· communicate the methodologies and the results to the management, clients and none technical stakeholders.
basic qualifications
· advanced degree in statistics/mathematics/computer science/economics or other fields that requires advanced training in data analytics.
· being able to apply basic statistical/ml concepts and reasoning to address and solve business problems such as targeting, test design, kpi projection and performance measurement.
· entrepreneurial, highly self-motivated, collaborative, keen attention to detail, willingness and capable learn quickly, and ability to effectively prioritize and execute tasks in a high pressure environment.
· being flexible to accept different task assignments and able to work on a tight time schedule.
· excellent command of one or more programming languages; preferably python, sas or r
· familiar with one of the database technologies such as postgresql, mysql, can write basic sql queries
· great communication skills (verbal, written and presentation)
preferred qualifications
· experience or exposure to large consumer and/or demographic data sets.
· familiarity with data manipulation and cleaning routines and techniques.","Affinity Solutions
2.9","New York, NY",data scientist affinity solution marketing cloud seek smart curious technically savvy candidate join cuttingedge data science team hire best brightest give opportunity work industryleading technology data science team afsmarketing cloud build model machine learning algorithm power adtechmartech product scale develop methodology tool precisely effectively measure market campaign effect research inhouse public data source consumer spend behavior insight role youll opportunity come new idea solution lead improvement ability target right audience derive insight provide better measurement methodology marketing campaign youll access core data asset machine learning infrastructure power idea duty responsibility support client model building need including maintaining improving current modelingscoring methodology process provide innovative solution customized modelingscoringtargeting appropriate mlstatistical tool provide analyticalstatistical support marketing test design projection campaign measurement market insight client stakeholder mine large consumer datasets cloud environment support hoc business statistical analysis develop improve automation capability enable customized delivery analytical product client communicate methodology result management client none technical stakeholder basic qualification advanced degree statisticsmathematicscomputer scienceeconomics field requires advanced training data analytics able apply basic statisticalml concept reasoning address solve business problem targeting test design kpi projection performance measurement entrepreneurial highly selfmotivated collaborative keen attention detail willingness capable learn quickly ability effectively prioritize execute task high pressure environment flexible accept different task assignment able work tight time schedule excellent command one programming language preferably python sa familiar one database technology postgresql mysql write basic sql query great communication skill verbal written presentation preferred qualification experience exposure large consumer andor demographic data set familiarity data manipulation cleaning routine technique
Data Scientist,"cyrusone is seeking a talented data scientist who holds a range of data-focused skills both in technical and analytical domains. the ideal candidate is adept at processing, cleansing, and verifying the integrity of data used for visualization and analysis. this role is dynamic, granting the candidate the opportunity to participate in a wide variety of projects and collaborate with many cross-functional teams throughout the business.

duties and responsibilities:
participate in an agile scrum cadence
process, cleanse, and verify the integrity of data used for analysis
perform functional business requirements analysis and data analysis
develop data models and algorithms to apply to data sets
augment data collection procedures to include necessary information for building accurate analytics
collaborate with stakeholders throughout the organization to identify opportunities for leveraging data to drive business solutions
evaluate the effectiveness and accuracy of data sources and data gathering techniques
gather critical information from meetings with various stakeholders and produce useful reports
coordinate with cross-functional teams to implement models and monitor outcomes
develop automated discrepancy detection systems and distribute reconciliation reports to stakeholders
requirements:
must be legally authorized to work in the united states for any employer without sponsorship
professional experience using statistical software languages like r, python, and sql to query, manipulate, and draw insights from data sets
strong problem-solving skills with an emphasis on product development
extensive experience with microsoft sql, mysql and mongodb
understanding of version control (git) and project management with azure devops
knowledge of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.)
experience visualizing data for stakeholders using visualization tools such as power bi
experience working with and creating data architectures
understanding and adherence to agile principles and practices
ability to work on problems of any scope where the analysis of situations or data requires a review of a variety of factors
self-maintainability and reliability with minimal supervision
excellent interpersonal communication, decision making, presentation, and organizational skills
ability to build productive internal/external working relationships
harmonious with cyrusone culture, core values, and business goals
minimum qualifications:
2+ years of related experience in a data analyst role
strong can-do attitude in a time sensitive environment
other important information about this position:
this position requires typical weekday (monday - friday) attendance in an office setting, at times after hours work may be required to meet business and customer needs
every position requires certain physical capabilities. cyrusone seeks to make reasonable accommodations that enable individuals with disabilities to perform essential duties when possible
cyrusone is an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity, religion, national origin, disability, veteran status, or other legally protected status.

cyrusone provides reasonable accommodation for qualified individuals with disabilities in accordance with the americans with disabilities act (ada) and any other state or local laws. we will respond to requests for reasonable accommodations to assist you in applying for positions at cyrusone, or to submit a resume. if you need to request an accommodation, please contact our human resources at 214.488.1365 (option 7) or by email at hr@cyrusone.com.","CyrusOne
3.4","Dallas, TX",cyrusone seeking talented data scientist hold range datafocused skill technical analytical domain ideal candidate adept processing cleansing verifying integrity data used visualization analysis role dynamic granting candidate opportunity participate wide variety project collaborate many crossfunctional team throughout business duty responsibility participate agile scrum cadence process cleanse verify integrity data used analysis perform functional business requirement analysis data analysis develop data model algorithm apply data set augment data collection procedure include necessary information building accurate analytics collaborate stakeholder throughout organization identify opportunity leveraging data drive business solution evaluate effectiveness accuracy data source data gathering technique gather critical information meeting various stakeholder produce useful report coordinate crossfunctional team implement model monitor outcome develop automated discrepancy detection system distribute reconciliation report stakeholder requirement must legally authorized work united state employer without sponsorship professional experience using statistical software language like python sql query manipulate draw insight data set strong problemsolving skill emphasis product development extensive experience microsoft sql mysql mongodb understanding version control git project management azure devops knowledge machine learning technique clustering decision tree learning artificial neural network etc experience visualizing data stakeholder using visualization tool power experience working creating data architecture understanding adherence agile principle practice ability work problem scope analysis situation data requires review variety factor selfmaintainability reliability minimal supervision excellent interpersonal communication decision making presentation organizational skill ability build productive internalexternal working relationship harmonious cyrusone culture core value business goal minimum qualification year related experience data analyst role strong cando attitude time sensitive environment important information position position requires typical weekday monday friday attendance office setting time hour work may required meet business customer need every position requires certain physical capability cyrusone seek make reasonable accommodation enable individual disability perform essential duty possible cyrusone equal opportunity employer qualified applicant receive consideration employment without regard race color sex sexual orientation gender identity religion national origin disability veteran status legally protected status cyrusone provides reasonable accommodation qualified individual disability accordance american disability act ada state local law respond request reasonable accommodation assist applying position cyrusone submit resume need request accommodation please contact human resource option email hrcyrusonecom
Data Scientist,"job description

**please only local candidates apply - thank you**

clearone advantage is a fast-growing company that is aggressively hiring due to increased business. we are always improving our marketing, culture and technology to provide our employees with the best work atmosphere and our customers with excellent customer service. coa’s proprietary software is tailored to our industry and allows the client to receive the best service possible.

we are looking for a data scientist to analyze large amounts of raw information to find patterns that will help improve our company. we will rely on you to build data products to extract valuable business insights. in this role, you should be highly analytical with a knack for analysis, math and statistics. critical thinking and problem-solving skills are essential for interpreting data. we want to see a passion for machine-learning and research. your goal will be to help our company analyze trends to make better decisions.

if you are looking to work in a team environment, a place where you are more a name than a number, where you interact with leadership daily, then please send your resume for review!

perks:
great location, right on the water in the canton crossing tower
casual work environment and wfh flexibility
room for advancement
what you'll be doing:
identify valuable data sources and automate collection processes
undertake preprocessing of structured and unstructured data
analyze large amounts of information to discover trends and patterns
build predictive models and machine-learning algorithms
combine models through ensemble modeling
present information using data visualization techniques
propose solutions and strategies to business challenges
collaborate with engineering and product development teams","ClearOne Advantage
4.1","Baltimore, MD",job description please local candidate apply thank clearone advantage fastgrowing company aggressively hiring due increased business always improving marketing culture technology provide employee best work atmosphere customer excellent customer service coas proprietary software tailored industry allows client receive best service possible looking data scientist analyze large amount raw information find pattern help improve company rely build data product extract valuable business insight role highly analytical knack analysis math statistic critical thinking problemsolving skill essential interpreting data want see passion machinelearning research goal help company analyze trend make better decision looking work team environment place name number interact leadership daily please send resume review perk great location right water canton crossing tower casual work environment wfh flexibility room advancement youll identify valuable data source automate collection process undertake preprocessing structured unstructured data analyze large amount information discover trend pattern build predictive model machinelearning algorithm combine model ensemble modeling present information using data visualization technique propose solution strategy business challenge collaborate engineering product development team
Data Scientist,"advanced analytics – lead data scientist
overview


we are looking for a data scientist to join our data science team to work on interesting projects to help our clients make data driven solutions. as a data scientist, you’ll work closely with the clients to understand their business needs, frame them as statistical problems, and solve them with cutting edge techniques. collaborate with your team, including machine learning engineers, data engineers, analysts, and tpms to define tasks, provide estimates, and work together to deliver a world class solution. the ideal candidate will have the balance of technical skills and business acumen to help the client better understand their core needs while understanding technical limitations.

about you…
experience partnering & communicating with executive management team to understand business needs and pain points
ability to communicate data science concepts to business stakeholders
passion for the application of machine learning to real world problems
adept at developing and iterating solutions rapidly
ability to lead development of data science solutions
what we offer our consultants:

experience working with both large enterprise clients and mid-sized clients
progressive responsibilities that encourage ownership and design
opportunity to learn and gain experience in complimentary skills such as meeting facilitation, data management, project management, data modeling, and data management
company culture that celebrates “foster the culture of we”, “act with integrity” and “drive towards excellence” while having fun at work
training and certification opportunities to support your career now and after logic20/20
various opportunities to give back to the community through company sponsored events
required qualifications
experience building machine learning models using python
experience deploying machine learning models in a production environment
strong knowledge of probability statistics
experience with tensorflow or pytorch
experience writing sql to query databases, structure and modify data
demonstrated ability to frame business problems as statistical problems and solve them
ability to work both independently and as part of a team
experience working in ambiguous and dynamic environments that move quickly
an undergraduate degree in mathematics, computer science, or engineering is preferred
preferred qualifications
passion and experience driving adoption of machine learning in industry
experience deploying machine learning on large scales through spark or other big data technology
experience building systems in aws
experience in computer vision with deep neural networks
experience with leading workshops with executives to drive requirements gathering
masters or phd in data science or related field

about logic20/20. . .


logic20/20 is one of seattle’s fastest growing full-service consulting firms. our core competency is creating simplicity and efficiency in complex solutions. although we make it look like magic, we succeed by combining methodical and structured approaches with our substantial experience to design elegant solutions for even the most intricate challenges. our rapid growth is in response to our ability to deliver consistently for our clients, which is directly related to the quality of the people we hire.

the past four years, we’ve been in the top 10 “best companies to work for” ….. why? our team members are highly self-motivated, comfortable conceiving strategies on the fly, and enjoy working both individually and as part of a team. our environment is very high-energy and demanding, and individuals with remarkable enthusiasm and a can-do attitude are joining our team. we have lots of fun, focus on our employees and our clients, and work to bring our best to every opportunity.","Logic20/20
3.8","San Jose, CA",advanced analytics lead data scientist overview looking data scientist join data science team work interesting project help client make data driven solution data scientist youll work closely client understand business need frame statistical problem solve cutting edge technique collaborate team including machine learning engineer data engineer analyst tpms define task provide estimate work together deliver world class solution ideal candidate balance technical skill business acumen help client better understand core need understanding technical limitation experience partnering communicating executive management team understand business need pain point ability communicate data science concept business stakeholder passion application machine learning real world problem adept developing iterating solution rapidly ability lead development data science solution offer consultant experience working large enterprise client midsized client progressive responsibility encourage ownership design opportunity learn gain experience complimentary skill meeting facilitation data management project management data modeling data management company culture celebrates foster culture act integrity drive towards excellence fun work training certification opportunity support career logic various opportunity give back community company sponsored event required qualification experience building machine learning model using python experience deploying machine learning model production environment strong knowledge probability statistic experience tensorflow pytorch experience writing sql query database structure modify data demonstrated ability frame business problem statistical problem solve ability work independently part team experience working ambiguous dynamic environment move quickly undergraduate degree mathematics computer science engineering preferred preferred qualification passion experience driving adoption machine learning industry experience deploying machine learning large scale spark big data technology experience building system aws experience computer vision deep neural network experience leading workshop executive drive requirement gathering master phd data science related field logic logic one seattle fastest growing fullservice consulting firm core competency creating simplicity efficiency complex solution although make look like magic succeed combining methodical structured approach substantial experience design elegant solution even intricate challenge rapid growth response ability deliver consistently client directly related quality people hire past four year weve top best company work team member highly selfmotivated comfortable conceiving strategy fly enjoy working individually part team environment highenergy demanding individual remarkable enthusiasm cando attitude joining team lot fun focus employee client work bring best every opportunity
