CV_ID,CV_Category,Top_Match_Score,Missing_Skills
Data Science,Data Science,0.7132432,[]
Data Science,Data Science,0.514878,[]
Data Science,Data Science,0.62620485,[]
Data Science,Data Science,0.69160163,[]
Data Science,Data Science,0.7309114,[]
Data Science,Data Science,0.7165803,[]
Data Science,Data Science,0.6937946,[]
Data Science,Data Science,0.77613723,[]
Web Designing,Web Designing,0.54295266,[]
Web Designing,Web Designing,0.57092816,[]
Web Designing,Web Designing,0.6164979,[]
Java Developer,Java Developer,0.60784566,[]
Java Developer,Java Developer,0.6844787,[]
Java Developer,Java Developer,0.6779219,[]
Java Developer,Java Developer,0.6085397,[]
Java Developer,Java Developer,0.48981482,[]
Java Developer,Java Developer,0.56982636,[]
Java Developer,Java Developer,0.6299718,[]
Java Developer,Java Developer,0.43910077,[]
Java Developer,Java Developer,0.59474415,[]
Java Developer,Java Developer,0.5023376,[]
Java Developer,Java Developer,0.55859804,[]
Business Analyst,Business Analyst,0.777449,[]
Business Analyst,Business Analyst,0.58856887,[]
Business Analyst,Business Analyst,0.66084886,[]
Business Analyst,Business Analyst,0.6606313,[]
Business Analyst,Business Analyst,0.7546326,[]
Business Analyst,Business Analyst,0.7076865,[]
SAP Developer,SAP Developer,0.6336717,[]
SAP Developer,SAP Developer,0.62598777,[]
SAP Developer,SAP Developer,0.6570356,[]
SAP Developer,SAP Developer,0.56979966,[]
SAP Developer,SAP Developer,0.63414633,[]
SAP Developer,SAP Developer,0.7600135,[]
Automation Testing,Automation Testing,0.59336007,[]
Automation Testing,Automation Testing,0.57441247,[]
Automation Testing,Automation Testing,0.5642059,[]
Automation Testing,Automation Testing,0.69062936,"['building', 'proposed', 'scalable', 'datadriven', 'expanded', 'background', 'equal', 'clearedgeitcombenefits', 'complex', 'industry', 'join', 'prime', 'optimization', 'growing', 'employeefocused', 'human', 'library', 'check', 'algorithm', 'primary', 'excel', 'relationship', 'multifunctional', 'mission', 'presence', 'drivecapture', 'upfront', 'relevant', 'emerging', 'right', 'established', 'part', 'overload', 'include', 'proposing', 'guideline', 'three', 'cuttingedge', 'documentation', 'candidate', 'convention', 'tune', 'pentaho', 'ibm', 'forward', 'also', 'deploy', 'problemsolving', 'ltl', 'dimensional', 'drive', 'honesty', 'key', 'initiative', 'pay', 'prototype', 'repeatedly', 'existing', 'enterprise', 'please', 'material', 'seeking', 'core', 'vacation', 'request', 'intuitive', 'analyzing', 'professional', 'familiar', 'looker', 'generate', 'intelligence', 'respect', 'fit', 'package', 'market', 'share', 'paid', 'aptitude', 'collecting', 'deployment', 'understand', 'change', 'proven', 'innovate', 'platform', 'model', 'fine', 'deliver', 'resultsoriented', 'enjoy', 'infographics', 'master', 'expecting', 'update', 'element', 'etl', 'skillset', 'clearedge', 'simulation', 'engineer', 'fairness', 'experienced', 'incorporate', 'visualization', 'challenging', 'statistical', 'bootstrap', 'variety', 'sound', 'providing', 'idea', 'government', 'designing', 'toolingreporting', 'familiarity', 'nice', 'career', 'creative', 'innovation', 'developing', 'dental', 'recently', 'drilldowns', 'operation', 'bscba', 'every', 'challenge', 'pleased', 'formulating', 'transportation', 'page', 'htmlcss', 'mlai', 'angular', 'stellar', 'take', 'contact', 'staff', 'accessibility', 'specification', 'troubleshooting', 'rest', 'thinker', 'certified', 'factor', 'day', 'interactive', 'requires', 'stable', 'people', 'mind', 'continuous', 'meeting', 'competency', 'person', 'woman', 'dashboard', 'learning', 'modeling', 'men', 'used', 'careersclearedgeitcom', 'integrity', 'analyticsreporting', 'solve', 'clientside', 'obtained', 'gather', 'deploying', 'react', 'formulate', 'loyalty', 'involves', 'potentially', 'stakeholder', 'implement', 'vue', 'qualification', 'developed', 'within', 'selfstarter', 'given', 'based', 'collaborate', 'extremely', 'benefit', 'excellent', 'interested', 'comprehensive', 'stack', 'life', 'developeranalyst', 'warehousing', 'jquery', 'designdata', 'successfully', 'frontend', 'highperformance', 'indepth', 'manage', 'competitive', 'analyze', 'research', 'weekly', 'zurb', 'explore', 'warehousedatabase', 'holiday', 'leverage', 'feedback', 'personal', 'node', 'transform', 'operational', 'scientist', 'mi', 'opening', 'reporting', 'fastpaced', 'dj', 'full', 'improvement', 'cyber', 'employer', 'recruiter', 'joining', 'leaflet', 'query', 'usability', 'standard', 'subcontract', 'integrating', 'peoplecentered', 'establishing', 'unit', 'empowers', 'accountability', 'ultimately', 'current', 'visit', 'contributing', 'technique', 'may', 'computing', 'overcome', 'combine', 'analytic', 'mathematical', 'comfortable', 'applying', 'interface', 'make', 'add', 'mining', 'selfmotivated', 'discipline', 'organization', 'heart', 'analystdeveloper', 'evaluate', 'educating', 'movement', 'pdi', 'positive', 'value', 'desire', 'custom', 'technology', 'dod', 'thing', 'creating', 'vision']"
Automation Testing,Automation Testing,0.6661587,[]
Automation Testing,Automation Testing,0.64948016,[]
Python Developer,Python Developer,0.6746165,[]
Python Developer,Python Developer,0.548296,[]
Python Developer,Python Developer,0.5691125,[]
Python Developer,Python Developer,0.60105664,[]
DevOps Engineer,DevOps Engineer,0.6840025,[]
DevOps Engineer,DevOps Engineer,0.6251279,[]
DevOps Engineer,DevOps Engineer,0.6314167,[]
DevOps Engineer,DevOps Engineer,0.77645844,[]
DevOps Engineer,DevOps Engineer,0.68221664,[]
DevOps Engineer,DevOps Engineer,0.73102033,[]
DevOps Engineer,DevOps Engineer,0.66581583,[]
Network Security Engineer,Network Security Engineer,0.5321281,[]
Network Security Engineer,Network Security Engineer,0.5317814,[]
Network Security Engineer,Network Security Engineer,0.49612018,[]
Network Security Engineer,Network Security Engineer,0.62599397,[]
Network Security Engineer,Network Security Engineer,0.4578637,[]
Database,Database,0.6471888,[]
Database,Database,0.635973,[]
Database,Database,0.69075304,[]
Database,Database,0.6012293,[]
Database,Database,0.52208364,[]
Database,Database,0.61987436,[]
Database,Database,0.60337675,[]
Database,Database,0.61465925,[]
Database,Database,0.7825788,[]
Database,Database,0.54856884,[]
Database,Database,0.68665147,[]
Hadoop,Hadoop,0.69436836,[]
Hadoop,Hadoop,0.77507305,[]
Hadoop,Hadoop,0.6646693,[]
Hadoop,Hadoop,0.7777753,[]
Hadoop,Hadoop,0.7603016,[]
Hadoop,Hadoop,0.74610174,[]
Hadoop,Hadoop,0.6927225,[]
ETL Developer,ETL Developer,0.6765682,[]
ETL Developer,ETL Developer,0.6718001,[]
ETL Developer,ETL Developer,0.70083314,[]
ETL Developer,ETL Developer,0.682973,[]
ETL Developer,ETL Developer,0.6406284,[]
Blockchain,Blockchain,0.53993976,[]
Blockchain,Blockchain,0.620687,[]
Blockchain,Blockchain,0.6249149,[]
Blockchain,Blockchain,0.6182219,[]
Blockchain,Blockchain,0.6793392,[]
