CV_ID,CV_Category,Top_JD_Categories,Match_Scores,Top_Score,cv_skills,jd_skills,Missing_Skills
Data Science,Data Science,"['Data Scientist.195', 'Data Scientist.144', 'Data Scientist.27', 'Data Scientist.269', 'Data Scientist.277']","[0.7132432, 0.7116245, 0.70198643, 0.6983115, 0.6981504]",0.7132432,"['python', 'r', 'java', 'sql', 'javascript', 'numpy', 'scipy', 'matplotlib', 'tableau', 'machine learning', 'deep learning', 'spacy', 'nltk', 'kafka', 'docker', 'git', 'regression', 'classification', 'time series']",,[]
Data Science,Data Science,"['Data Scientist.195', 'Data Scientist.144', 'Data Scientist.27', 'Data Scientist.269', 'Data Scientist.277']","[0.7132432, 0.7116245, 0.70198643, 0.6983115, 0.6981504]",0.7132432,"['python', 'r', 'scipy', 'statsmodels', 'machine learning', 'aws', 'git', 'regression', 'classification', 'time series']",,[]
Data Science,Data Science,"['Data Scientist.195', 'Data Scientist.144', 'Data Scientist.27', 'Data Scientist.269', 'Data Scientist.277']","[0.7132432, 0.7116245, 0.70198643, 0.6983115, 0.6981504]",0.7132432,"['python', 'r', 'java', 'sql', 'bash', 'excel', 'data analysis', 'machine learning', 'deep learning', 'git', 'linux', 'system design']",,[]
Data Science,Data Science,"['Data Scientist.195', 'Data Scientist.144', 'Data Scientist.27', 'Data Scientist.269', 'Data Scientist.277']","[0.7132432, 0.7116245, 0.70198643, 0.6983115, 0.6981504]",0.7132432,"['python', 'r', 'c#', 'sql', 'tableau', 'etl', 'machine learning', 'deep learning', 'nlp', 'sql server', 'git', 'time series']",,[]
Data Science,Data Science,"['Data Scientist.195', 'Data Scientist.144', 'Data Scientist.27', 'Data Scientist.269', 'Data Scientist.277']","[0.7132432, 0.7116245, 0.70198643, 0.6983115, 0.6981504]",0.7132432,"['python', 'r', 'excel', 'tableau', 'data visualization', 'machine learning']",,[]
Data Science,Data Science,"['Data Scientist.195', 'Data Scientist.144', 'Data Scientist.27', 'Data Scientist.269', 'Data Scientist.277']","[0.7132432, 0.7116245, 0.70198643, 0.6983115, 0.6981504]",0.7132432,"['python', 'r', 'java', 'c++', 'sql', 'numpy', 'matplotlib', 'seaborn', 'machine learning', 'deep learning', 'tensorflow', 'nlp', 'gcp', 'linux', 'regression', 'classification', 'clustering', 'optimization']",,[]
Data Science,Data Science,"['Data Scientist.195', 'Data Scientist.144', 'Data Scientist.27', 'Data Scientist.269', 'Data Scientist.277']","[0.7132432, 0.7116245, 0.70198643, 0.6983115, 0.6981504]",0.7132432,"['python', 'r', 'sql', 'numpy', 'machine learning', 'deep learning', 'nlp', 'text classification', 'nltk', 'algorithms', 'classification']",,[]
Data Science,Data Science,"['Data Scientist.195', 'Data Scientist.144', 'Data Scientist.27', 'Data Scientist.269', 'Data Scientist.277']","[0.7132432, 0.7116245, 0.70198643, 0.6983115, 0.6981504]",0.7132432,"['python', 'r', 'tableau', 'data analysis', 'data visualization', 'machine learning', 'nlp', 'hadoop', 'spark', 'aws']",,[]
Data Science,Data Science,"['Data Scientist.264', 'Data Scientist.281', 'Data Scientist.202', 'Data Scientist.65', 'Data Scientist.142']","[0.514878, 0.50839853, 0.48954463, 0.4862132, 0.48477244]",0.514878,"['python', 'r', 'java', 'sql', 'javascript', 'numpy', 'scipy', 'matplotlib', 'tableau', 'machine learning', 'deep learning', 'spacy', 'nltk', 'kafka', 'docker', 'git', 'regression', 'classification', 'time series']",,[]
Data Science,Data Science,"['Data Scientist.264', 'Data Scientist.281', 'Data Scientist.202', 'Data Scientist.65', 'Data Scientist.142']","[0.514878, 0.50839853, 0.48954463, 0.4862132, 0.48477244]",0.514878,"['python', 'r', 'scipy', 'statsmodels', 'machine learning', 'aws', 'git', 'regression', 'classification', 'time series']",,[]
