ID,CV_ID,CV_Category,Top_JD_Categories,Match_Scores,Top_Score
0,Data Science,Data Science,"['Data Scientist.195', 'Data Scientist.144', 'Data Scientist.27', 'Data Scientist.269', 'Data Scientist.277']","[0.7132432, 0.7116245, 0.70198643, 0.6983115, 0.6981504]",0.7132432
1,Data Science,Data Science,"['Data Scientist.264', 'Data Scientist.281', 'Data Scientist.202', 'Data Scientist.65', 'Data Scientist.142']","[0.514878, 0.50839853, 0.48954463, 0.4862132, 0.48477244]",0.514878
2,Data Science,Data Science,"['Data Scientist.293', 'Data Scientist.282', 'Data Scientist.357', 'Data Scientist.58', 'Data Scientist.356']","[0.62620485, 0.596589, 0.5929347, 0.5816834, 0.57983756]",0.62620485
3,Data Science,Data Science,"['Data Engineer.27', 'Data Engineer.39', 'Data Scientist.178', 'Data Engineer.32', 'Data Analyst.3']","[0.69160163, 0.6779484, 0.6720464, 0.6692674, 0.66685003]",0.69160163
4,Data Science,Data Science,"['Data Scientist.142', 'Data Scientist.189', 'Data Scientist.176', 'Data Scientist.264', 'Data Scientist.48']","[0.7309114, 0.71535033, 0.71473014, 0.7137886, 0.71075106]",0.7309114
5,Data Science,Data Science,"['Data Scientist.195', 'Data Scientist.65', 'Data Scientist.144', 'Data Scientist.84', 'Data Scientist.58']","[0.7165803, 0.7002156, 0.6987982, 0.69636923, 0.69251275]",0.7165803
6,Data Science,Data Science,"['Data Scientist.164', 'Data Scientist.84', 'Data Scientist.65', 'Data Scientist.195', 'Data Scientist.58']","[0.6937946, 0.68860984, 0.6796511, 0.6793935, 0.6781484]",0.6937946
7,Data Science,Data Science,"['Data Scientist.144', 'Data Scientist.176', 'Data Scientist.48', 'Data Engineer.81', 'Data Analyst.18']","[0.77613723, 0.7686931, 0.7643497, 0.7628429, 0.7620209]",0.77613723
8,Web Designing,Web Designing,"['Data Engineer.20', 'Data Engineer.26', 'Data Engineer.92', 'Data Analyst.34', 'Data Analyst.4']","[0.54295266, 0.53378224, 0.507154, 0.5053774, 0.50275385]",0.54295266
9,Web Designing,Web Designing,"['Data Engineer.20', 'Data Engineer.2', 'Data Engineer.1', 'Data Analyst.2', 'Data Engineer.26']","[0.57092816, 0.56012493, 0.5400741, 0.5307757, 0.52877605]",0.57092816
10,Web Designing,Web Designing,"['Data Engineer.20', 'Data Engineer.2', 'Data Scientist.6', 'Data Scientist.43', 'Data Analyst.13']","[0.6164979, 0.58241206, 0.5623609, 0.5591197, 0.55565834]",0.6164979
